Date;Close;MM_Daily_20_exp;MoM_Daily_10_exp;RSI_Daily_21_exp;MM_Weekly_20_exp;MoM_Weekly_10_exp;RSI_Weekly_21_exp;MM_Monthly_20_exp;MoM_Monthly_10_exp;RSI_Monthly_21_exp
30/11/2005;125.41;124.211;2.16999;59.94630314;122.6244995;5.41001;60.829995;117.504;7.25;59.64406392
01/12/2005;126.69;124.458;3.19999;63.79911837;122.6244995;5.41001;60.829995;118.181499;3.87999;58.75215189
02/12/2005;126.85001;124.6870005;2.21001;64.25048781;122.6244995;5.41001;60.829995;118.181499;3.87999;58.75215189
05/12/2005;126.58;124.9105005;1.45;62.86174614;122.764;3.29001;59.70294779;118.181499;3.87999;58.75215189
06/12/2005;126.82001;125.140001;1.06002;63.59614369;122.764;3.29001;59.70294779;118.181499;3.87999;58.75215189
07/12/2005;126.08;125.332501;-0.22;59.76975767;122.764;3.29001;59.70294779;118.181499;3.87999;58.75215189
08/12/2005;126;125.513001;-1.03;59.36431898;122.764;3.29001;59.70294779;118.181499;3.87999;58.75215189
09/12/2005;126.33;125.662501;-0.8;60.52413369;122.764;3.29001;59.70294779;118.181499;3.87999;58.75215189
12/12/2005;126.45;125.7970015;0.22;60.94969497;122.8949995;6.75;59.74812395;118.181499;3.87999;58.75215189
13/12/2005;127.31;125.9780015;1.22;63.87982434;122.8949995;6.75;59.74812395;118.181499;3.87999;58.75215189
14/12/2005;127.81;126.206501;2.4;65.46188053;122.8949995;6.75;59.74812395;118.181499;3.87999;58.75215189
15/12/2005;127.44;126.4040005;0.75;63.30737614;122.8949995;6.75;59.74812395;118.181499;3.87999;58.75215189
16/12/2005;126.36;126.4900005;-0.49001;57.5065779;122.8949995;6.75;59.74812395;118.181499;3.87999;58.75215189
19/12/2005;125.71001;126.519001;-0.86999;54.35899563;123.088999;8.08999;60.37010356;118.181499;3.87999;58.75215189
20/12/2005;125.83;126.5225015;-0.99001;54.838132;123.088999;8.08999;60.37010356;118.181499;3.87999;58.75215189
21/12/2005;126.03;126.5090015;-0.05;55.65291741;123.088999;8.08999;60.37010356;118.181499;3.87999;58.75215189
22/12/2005;126.69;126.4920015;0.69;58.262104;123.088999;8.08999;60.37010356;118.181499;3.87999;58.75215189
23/12/2005;126.75999;126.473501;0.42999;58.533758;123.088999;8.08999;60.37010356;118.181499;3.87999;58.75215189
27/12/2005;125.47;126.435501;-0.98;51.98574563;123.1614985;6.37999;55.32112307;118.181499;3.87999;58.75215189
28/12/2005;125.75;126.418501;-1.56;53.17946018;123.1614985;6.37999;55.32112307;118.181499;3.87999;58.75215189
29/12/2005;125.19;126.407501;-2.62;50.54075241;123.1614985;6.37999;55.32112307;118.181499;3.87999;58.75215189
30/12/2005;124.50999;126.2985005;-2.93001;47.53354002;123.1614985;6.37999;55.32112307;118.181499;3.87999;58.75215189
03/01/2006;126.7;126.291;0.34;56.321873;123.4599985;8.64;61.26281661;118.913499;9.53999;60.79712372
04/01/2006;127.3;126.327;1.58999;58.32978614;123.4599985;8.64;61.26281661;118.913499;9.53999;60.79712372
05/01/2006;127.38;126.3549995;1.55;58.59625628;123.4599985;8.64;61.26281661;118.913499;9.53999;60.79712372
06/01/2006;128.44;126.4729995;2.41;61.97887447;123.4599985;8.64;61.26281661;118.913499;9.53999;60.79712372
09/01/2006;128.77;126.6114995;2.08;62.96785914;123.8559985;6.56999;61.59033621;118.913499;9.53999;60.79712372
10/01/2006;128.89999;126.739999;2.14;63.36202711;123.8559985;6.56999;61.59033621;118.913499;9.53999;60.79712372
11/01/2006;129.31;126.882999;3.84;64.60958851;123.8559985;6.56999;61.59033621;118.913499;9.53999;60.79712372
12/01/2006;128.8;126.957499;3.05;61.85855859;123.8559985;6.56999;61.59033621;118.913499;9.53999;60.79712372
13/01/2006;128.67999;127.0009985;3.48999;61.21455309;123.8559985;6.56999;61.59033621;118.913499;9.53999;60.79712372
17/01/2006;128.33;127.0454985;3.82001;59.32332981;124.0409985;2.21001;55.97862488;118.913499;9.53999;60.79712372
18/01/2006;127.82001;127.118499;1.12001;56.64570084;124.0409985;2.21001;55.97862488;118.913499;9.53999;60.79712372
19/01/2006;128.31;127.2484985;1.01;58.53383814;124.0409985;2.21001;55.97862488;118.913499;9.53999;60.79712372
20/01/2006;125.97;127.2554985;-1.41;48.0422213;124.0409985;2.21001;55.97862488;118.913499;9.53999;60.79712372
23/01/2006;126.42;127.2749985;-2.02;49.85703232;124.2379975;3.40999;59.64033024;118.913499;9.53999;60.79712372
24/01/2006;126.55;127.2679985;-2.22;50.38272734;124.2379975;3.40999;59.64033024;118.913499;9.53999;60.79712372
25/01/2006;126.66;127.262999;-2.23999;50.8406254;124.2379975;3.40999;59.64033024;118.913499;9.53999;60.79712372
26/01/2006;127.36;127.357499;-1.95;53.69591323;124.2379975;3.40999;59.64033024;118.913499;9.53999;60.79712372
27/01/2006;128.53999;127.4969985;-0.26001;58.01243397;124.2379975;3.40999;59.64033024;118.913499;9.53999;60.79712372
30/01/2006;128.44;127.6594985;-0.23999;57.53521708;124.3764975;-0.86;55.36895316;118.913499;9.53999;60.79712372
31/01/2006;127.5;127.808999;-0.83;53.21422893;124.3764975;-0.86;55.36895316;118.913499;9.53999;60.79712372
01/02/2006;128.39;127.893499;0.56999;56.4646722;124.3764975;-0.86;55.36895316;119.598499;12.48;61.28911639
02/02/2006;126.89999;127.8734985;-1.41001;50.31925366;124.3764975;-0.86;55.36895316;119.598499;12.48;61.28911639
03/02/2006;126.27;127.8179985;0.3;47.99999281;124.3764975;-0.86;55.36895316;119.598499;12.48;61.28911639
06/02/2006;126.60001;127.725999;0.18001;49.28566106;124.6364975;-0.21001;55.90938522;119.598499;12.48;61.28911639
07/02/2006;125.48;127.561499;-1.07;45.29487302;124.6364975;-0.21001;55.90938522;119.598499;12.48;61.28911639
08/02/2006;126.62;127.4474995;-0.04;49.6519292;124.6364975;-0.21001;55.90938522;119.598499;12.48;61.28911639
09/02/2006;126.41;127.3024995;-0.95;48.89863332;124.6364975;-0.21001;55.90938522;119.598499;12.48;61.28911639
10/02/2006;126.64;127.1944995;-1.89999;49.77492344;124.6364975;-0.21001;55.90938522;119.598499;12.48;61.28911639
13/02/2006;126.41;127.081;-2.03;48.89455354;124.924998;2.48;58.96897833;119.598499;12.48;61.28911639
14/02/2006;127.75;127.052;0.25;53.88420845;124.924998;2.48;58.96897833;119.598499;12.48;61.28911639
15/02/2006;128.2;127.0709995;-0.19;55.41900255;124.924998;2.48;58.96897833;119.598499;12.48;61.28911639
16/02/2006;129.16;127.1134995;2.26001;58.51194305;124.924998;2.48;58.96897833;119.598499;12.48;61.28911639
17/02/2006;128.81;127.2554995;2.54;56.99814271;124.924998;2.48;58.96897833;119.598499;12.48;61.28911639
21/02/2006;128.49001;127.359;1.89;55.61684252;125.414998;3.05;59.77928263;119.598499;12.48;61.28911639
22/02/2006;129.27;127.495;3.79;58.20894759;125.414998;3.05;59.77928263;119.598499;12.48;61.28911639
23/02/2006;129.08;127.616;2.46;57.35222826;125.414998;3.05;59.77928263;119.598499;12.48;61.28911639
24/02/2006;129.41;127.7185;3;58.46701452;125.414998;3.05;59.77928263;119.598499;12.48;61.28911639
27/02/2006;129.46001;127.764501;2.82001;58.63904998;125.9194975;2;58.4658844;119.598499;12.48;61.28911639
28/02/2006;128.23;127.754001;1.82;52.97252753;125.9194975;2;58.4658844;119.598499;12.48;61.28911639
01/03/2006;129.37;127.847501;1.62;57.01487286;125.9194975;2;58.4658844;120.547999;10.35;62.3757788
02/03/2006;129.36;127.896001;1.16;56.96976932;125.9194975;2;58.4658844;120.547999;10.35;62.3757788
03/03/2006;128.75999;127.989001;-0.40001;54.26523796;125.9194975;2;58.4658844;120.547999;10.35;62.3757788
06/03/2006;128.17;128.084001;-0.64;51.72973971;126.4424975;4.08001;58.11527091;120.547999;10.35;62.3757788
07/03/2006;127.97;128.1525005;-0.52001;50.88350034;126.4424975;4.08001;58.11527091;120.547999;10.35;62.3757788
08/03/2006;128.24001;128.290501;-1.02999;51.99667523;126.4424975;4.08001;58.11527091;120.547999;10.35;62.3757788
09/03/2006;127.38;128.328501;-1.7;48.33319031;126.4424975;4.08001;58.11527091;120.547999;10.35;62.3757788
10/03/2006;128.59;128.437501;-0.82;53.20397535;126.4424975;4.08001;58.11527091;120.547999;10.35;62.3757788
13/03/2006;128.83;128.547001;-0.63001;54.10506346;126.9834975;2.18;61.04452203;120.547999;10.35;62.3757788
14/03/2006;130.17999;128.7355005;1.94999;58.79160634;126.9834975;2.18;61.04452203;120.547999;10.35;62.3757788
15/03/2006;130.75999;128.886;1.38999;60.60629207;126.9834975;2.18;61.04452203;120.547999;10.35;62.3757788
16/03/2006;131.03;129.0275;1.67;61.43639981;126.9834975;2.18;61.04452203;120.547999;10.35;62.3757788
17/03/2006;130.62;129.1005;1.86001;59.439412;126.9834975;2.18;61.04452203;120.547999;10.35;62.3757788
20/03/2006;130.41;129.1805;2.24;58.41818462;127.388498;1.53002;60.15240787;120.547999;10.35;62.3757788
21/03/2006;129.59;129.2354995;1.62;54.57388958;127.388498;1.53002;60.15240787;120.547999;10.35;62.3757788
22/03/2006;130.38;129.2909995;2.13999;57.40911661;127.388498;1.53002;60.15240787;120.547999;10.35;62.3757788
23/03/2006;130.11;129.3424995;2.73;56.15143951;127.388498;1.53002;60.15240787;120.547999;10.35;62.3757788
24/03/2006;130.21001;129.3825;1.62001;56.52188808;127.388498;1.53002;60.15240787;120.547999;10.35;62.3757788
27/03/2006;130.02;129.4104995;1.19;55.58507465;127.6919985;3.86;59.30887026;120.547999;10.35;62.3757788
28/03/2006;129.22;129.4599995;-0.95999;51.79028604;127.6919985;3.86;59.30887026;120.547999;10.35;62.3757788
29/03/2006;130.03;129.4929995;-0.72999;55.0525478;127.6919985;3.86;59.30887026;120.547999;10.35;62.3757788
30/03/2006;129.8;129.5149995;-1.23;53.96382064;127.6919985;3.86;59.30887026;120.547999;10.35;62.3757788
31/03/2006;129.83;129.5685;-0.79;54.08817154;127.6919985;3.86;59.30887026;120.547999;10.35;62.3757788
03/04/2006;129.73;129.6465;-0.68;53.58160855;127.912498;1;58.64980975;121.565999;12.29001;63.47913509
04/04/2006;130.56;129.776;0.97;57.08439595;127.912498;1;58.64980975;121.565999;12.29001;63.47913509
05/04/2006;131.00999;129.914499;0.62999;58.85200588;127.912498;1;58.64980975;121.565999;12.29001;63.47913509
06/04/2006;130.87;130.088999;0.76;58.07071665;127.912498;1;58.64980975;121.565999;12.29001;63.47913509
07/04/2006;129.53999;130.1364985;-0.67002;51.27958346;127.912498;1;58.64980975;121.565999;12.29001;63.47913509
