Date;Close;MM_Daily_20_exp;MoM_Daily_10_exp;RSI_Daily_21_exp;MM_Weekly_20_exp;MoM_Weekly_10_exp;RSI_Weekly_21_exp;MM_Monthly_20_exp;MoM_Monthly_10_exp;RSI_Monthly_21_exp;Closure_Daily;Closure_Weekly;Closure_Monthly;MM_Daily_20;MM_Weekly_20;MM_Monthly_20
2004-10-29;113.2;112.1064985;1.94001;55.14697373;111.4480005;2.72;54.5357097;106.095001;1.92;54.10975865;True;True;True;112.10649849999997;111.44800049999999;106.09500099999998
2004-11-01;113.50999;112.089998;1.83;56.17137092;111.6305005;5.83;60.30818556;107.7525005;4.41;57.29432868;True;False;False;112.08999800000001;111.6305005;107.7525005
2004-11-02;113.55;112.0724985;2.80999;56.3066101;111.6305005;5.83;60.30818556;107.7525005;4.41;57.29432868;True;False;False;112.07249850000001;111.6305005;107.7525005
2004-11-03;114.98;112.0904985;4.46;60.84113251;111.6305005;5.83;60.30818556;107.7525005;4.41;57.29432868;True;False;False;112.09049850000001;111.6305005;107.7525005
2004-11-04;116.55;112.2454985;5.30999;65.02541758;111.6305005;5.83;60.30818556;107.7525005;4.41;57.29432868;True;False;False;112.24549850000001;111.6305005;107.7525005
2004-11-05;117.28;112.483999;7.28999;66.75950554;111.6305005;5.83;60.30818556;107.7525005;4.41;57.29432868;True;True;False;112.48399900000001;111.6305005;107.7525005
2004-11-08;117.11;112.690999;7.25;65.95983061;111.878;6.66999;62.17447862;107.7525005;4.41;57.29432868;True;False;False;112.690999;111.87800000000001;107.7525005
2004-11-09;116.88;112.908499;5.34001;64.85620914;111.878;6.66999;62.17447862;107.7525005;4.41;57.29432868;True;False;False;112.908499;111.87800000000001;107.7525005
2004-11-10;116.97;113.1799995;4.09;65.09615752;111.878;6.66999;62.17447862;107.7525005;4.41;57.29432868;True;False;False;113.17999949999998;111.87800000000001;107.7525005
2004-11-11;117.86;113.5409995;4.64;67.4068013;111.878;6.66999;62.17447862;107.7525005;4.41;57.29432868;True;False;False;113.5409995;111.87800000000001;107.7525005
2004-11-12;118.78999;113.9174995;5.58999;69.61385515;111.878;6.66999;62.17447862;107.7525005;4.41;57.29432868;True;True;False;113.9174995;111.87800000000001;107.7525005
2004-11-15;118.73;114.27;5.22001;69.29603297;112.105;4.36;59.50888861;107.7525005;4.41;57.29432868;True;False;False;114.27000000000001;112.10500000000002;107.7525005
2004-11-16;117.88;114.6269995;4.33;64.88859461;112.105;4.36;59.50888861;107.7525005;4.41;57.29432868;True;False;False;114.62699950000001;112.10500000000002;107.7525005
2004-11-17;118.58;115.0299995;3.6;66.7189815;112.105;4.36;59.50888861;107.7525005;4.41;57.29432868;True;False;False;115.02999949999999;112.10500000000002;107.7525005
2004-11-18;118.74001;115.4049995;2.19001;67.13025376;112.105;4.36;59.50888861;107.7525005;4.41;57.29432868;True;False;False;115.4049995;112.10500000000002;107.7525005
2004-11-19;117.42;115.776499;0.14;60.63932876;112.105;4.36;59.50888861;107.7525005;4.41;57.29432868;True;True;False;115.77649900000002;112.10500000000002;107.7525005
2004-11-22;117.98;116.182499;0.87;62.26464131;112.4360005;5.20002;60.70956925;107.7525005;4.41;57.29432868;True;False;False;116.182499;112.4360005;107.7525005
2004-11-23;118.16;116.5134995;1.28;62.78330516;112.4360005;5.20002;60.70956925;107.7525005;4.41;57.29432868;True;False;False;116.5134995;112.4360005;107.7525005
2004-11-24;118.44;116.7914995;1.47;63.60046709;112.4360005;5.20002;60.70956925;107.7525005;4.41;57.29432868;True;False;False;116.79149949999999;112.4360005;107.7525005
2004-11-26;118.35001;117.048;0.49001;63.13267803;112.4360005;5.20002;60.70956925;107.7525005;4.41;57.29432868;True;True;False;117.048;112.4360005;107.7525005
2004-11-29;117.81;117.2785;-0.97999;60.33648834;112.863;7.78999;61.85878534;107.7525005;4.41;57.29432868;True;False;False;117.27850000000001;112.86299999999999;107.7525005
2004-11-30;117.89;117.4975005;-0.84;60.60788171;112.863;7.78999;61.85878534;107.7525005;4.41;57.29432868;True;False;True;117.4975005;112.86299999999999;107.7525005
2004-12-01;119.23;117.7815005;1.35;64.83915859;112.863;7.78999;61.85878534;109.2005005;5.85;59.18403058;True;False;False;117.78150049999999;112.86299999999999;109.2005005
2004-12-02;119.33;117.9990005;0.75;65.13263;112.863;7.78999;61.85878534;109.2005005;5.85;59.18403058;True;False;False;117.9990005;112.86299999999999;109.2005005
2004-12-03;119.25;118.1340005;0.50999;64.6791583;112.863;7.78999;61.85878534;109.2005005;5.85;59.18403058;True;True;False;118.1340005;112.86299999999999;109.2005005
2004-12-06;119.21001;118.230501;1.79001;64.44366286;113.3814995;5.68001;61.96262591;109.2005005;5.85;59.18403058;True;False;False;118.23050099999998;113.38149949999999;109.2005005
2004-12-07;118.10001;118.2800015;0.12001;58.26123953;113.3814995;5.68001;61.96262591;109.2005005;5.85;59.18403058;True;False;False;118.28000149999998;113.38149949999999;109.2005005
2004-12-08;118.78999;118.375501;0.62999;60.72072792;113.3814995;5.68001;61.96262591;109.2005005;5.85;59.18403058;True;False;False;118.37550100000001;113.38149949999999;109.2005005
2004-12-09;119.21001;118.4875015;0.77001;62.14644916;113.3814995;5.68001;61.96262591;109.2005005;5.85;59.18403058;True;False;False;118.48750150000001;113.38149949999999;109.2005005
2004-12-10;119.33;118.5610015;0.97999;62.55414782;113.3814995;5.68001;61.96262591;109.2005005;5.85;59.18403058;True;True;False;118.5610015;113.38149949999999;109.2005005
2004-12-13;120.37;118.640002;2.56;65.8968995;113.8114995;6.93001;62.11155218;109.2005005;5.85;59.18403058;True;False;False;118.64000199999998;113.8114995;109.2005005
2004-12-14;120.78999;118.7430015;2.89999;67.14070796;113.8114995;6.93001;62.11155218;109.2005005;5.85;59.18403058;True;False;False;118.74300150000002;113.8114995;109.2005005
2004-12-15;120.88;118.8930015;1.65;67.40819892;113.8114995;6.93001;62.11155218;109.2005005;5.85;59.18403058;True;False;False;118.89300150000001;113.8114995;109.2005005
2004-12-16;120.81;119.0045015;1.48;66.96307302;113.8114995;6.93001;62.11155218;109.2005005;5.85;59.18403058;True;False;False;119.00450150000002;113.8114995;109.2005005
2004-12-17;119.44;119.039501;0.19;58.96190362;113.8114995;6.93001;62.11155218;109.2005005;5.85;59.18403058;True;True;False;119.039501;113.8114995;109.2005005
2004-12-20;119.47;119.142001;0.25999;59.07433921;114.507499;9.51001;63.90565851;109.2005005;5.85;59.18403058;True;False;False;119.14200099999998;114.50749900000001;109.2005005
2004-12-21;120.39;119.262501;2.28999;62.39214531;114.507499;9.51001;63.90565851;109.2005005;5.85;59.18403058;True;False;False;119.26250099999997;114.50749900000001;109.2005005
2004-12-22;120.67999;119.3885005;1.89;63.37484157;114.507499;9.51001;63.90565851;109.2005005;5.85;59.18403058;True;False;False;119.3885005;114.50749900000001;109.2005005
2004-12-23;120.77;119.5050005;1.55999;63.68410922;114.507499;9.51001;63.90565851;109.2005005;5.85;59.18403058;True;True;False;119.50500050000001;114.50749900000001;109.2005005
2004-12-27;120.52;119.6135;1.19;62.15351794;115.191499;10.87999;64.04008895;109.2005005;5.85;59.18403058;True;False;False;119.6135;115.19149899999998;109.2005005
